Date,Neutral,Anti,Pro
2008/05,0,0,0
2008/06,0,0,0
2008/07,0,0,0
2008/08,0,0,0
2008/09,0,0,0
2008/10,0,0,0
2008/11,0,0,0
2008/12,0,0,0
2009/01,0,0,0
2009/02,0,0,0
2009/03,0,0,0
2009/04,0,0,0
2009/05,0,0,0
2009/06,0,0,0
2009/07,1,4,22
2009/08,0,12,30
2009/09,10,14,41
2009/10,7,11,55
2009/11,9,8,50
2009/12,4,21,43
2010/01,3,17,54
2010/02,5,21,51
2010/03,5,18,44
2010/04,9,15,103
2010/05,12,16,69
2010/06,6,24,59
2010/07,7,31,497
2010/08,6,44,455
2010/09,10,28,476
2010/10,4,13,566
2010/11,35,47,689
2010/12,5,31,612
2011/01,1,24,567
2011/02,5,25,550
2011/03,23,46,635
2011/04,21,42,816
2011/05,11,7,599
2011/06,14,13,797
2011/07,17,86,724
2011/08,53,149,767
2011/09,73,101,970
2011/10,60,57,801
2011/11,28,9,1037
2011/12,38,36,776
2012/01,193,12,924
2012/02,31,29,823
2012/03,73,21,915
2012/04,18,9,993
2012/05,47,40,1327
2012/06,41,57,1267
2012/07,48,35,1262
2012/08,57,135,1220
2012/09,151,30,1389
2012/10,53,36,1216
2012/11,30,42,2065
2012/12,29,75,1385
2013/01,24,15,2215
2013/02,39,41,1244
2013/03,29,15,1517
2013/04,29,111,2064
2013/05,134,381,2474
2013/06,41,176,1860
2013/07,105,195,1678
2013/08,76,196,1829
2013/09,69,89,1486
2013/10,145,126,1715
2013/11,221,376,2056
2013/12,139,180,1870
2014/01,163,337,2538
2014/02,88,202,1618
2014/03,149,274,1801
2014/04,155,991,2185
2014/05,269,666,3538
2014/06,343,437,1334
2014/07,119,329,1637
2014/08,204,278,1858
2014/09,701,698,2030
2014/10,180,382,1536
2014/11,146,374,1680
2014/12,135,248,1175
2015/01,185,223,1471
2015/02,271,290,1406
2015/03,683,524,1711
2015/04,342,515,1525
2015/05,189,409,1521
2015/06,831,600,1160
2015/07,601,685,1105
2015/08,577,767,1148
2015/09,228,486,1295
2015/10,1152,591,1040
2015/11,596,786,869
2015/12,246,406,963
2016/01,1029,776,1107
2016/02,1346,451,1250
2016/03,1418,643,991
2016/04,1617,976,1061
2016/05,913,583,1282
2016/06,405,745,1091
2016/07,962,715,830
2016/08,1724,918,1153
2016/09,781,975,774
2016/10,718,524,1070
2016/11,566,804,1536
2016/12,906,866,965
2017/01,964,760,747
2017/02,1456,717,897
2017/03,1195,1056,703
2017/04,1313,1108,1140
2017/05,1290,1067,721
2017/06,1473,832,715
2017/07,2044,1699,889
2017/08,998,1250,1144
2017/09,1072,1164,1141
2017/10,1419,914,992
2017/11,383,1369,1287
2017/12,1237,1090,943
2018/01,1613,1560,2990
2018/02,1435,1442,1049
2018/03,957,1321,886
2018/04,723,1592,1674
2018/05,751,1408,1157
2018/06,1003,1089,1134
2018/07,1869,1082,1484
2018/08,901,1446,1292
2018/09,806,1713,1786
2018/10,1816,1535,1243
2018/11,995,1497,1456
2018/12,1796,1033,2658
2019/01,626,2136,1998
2019/02,694,2136,1876
2019/03,212,1573,1978
2019/04,380,1464,1686
2019/05,1705,1493,3346
2019/06,541,2185,1917
2019/07,634,1813,1545
2019/08,440,1852,2260
2019/09,1352,2458,2571
2019/10,363,2168,2479
2019/11,402,2176,1887
2019/12,1084,1608,3724
2020/01,126,1128,2283
2020/02,359,1009,2608
2020/03,173,496,2182
2020/04,225,526,2637
2020/05,1124,1055,3091
2020/06,255,162,1871
,,,
