Date,topic,retweets,valence,count
2008-05-24,cannabis,TRUE,Neutral,0
2008-05-25,cannabis,TRUE,Neutral,0
2008-05-26,cannabis,TRUE,Neutral,0
2008-05-27,cannabis,TRUE,Neutral,0
2008-05-28,cannabis,TRUE,Neutral,0
2008-05-29,cannabis,TRUE,Neutral,0
2008-05-30,cannabis,TRUE,Neutral,0
2008-05-31,cannabis,TRUE,Neutral,0
2008-06-01,cannabis,TRUE,Neutral,0
2008-06-02,cannabis,TRUE,Neutral,0
2008-06-03,cannabis,TRUE,Neutral,0
2008-06-04,cannabis,TRUE,Neutral,0
2008-06-05,cannabis,TRUE,Neutral,0
2008-06-06,cannabis,TRUE,Neutral,0
2008-06-07,cannabis,TRUE,Neutral,0
2008-06-08,cannabis,TRUE,Neutral,0
2008-06-09,cannabis,TRUE,Neutral,0
2008-06-10,cannabis,TRUE,Neutral,0
2008-06-11,cannabis,TRUE,Neutral,0
2008-06-12,cannabis,TRUE,Neutral,0
2008-06-13,cannabis,TRUE,Neutral,0
2008-06-14,cannabis,TRUE,Neutral,0
2008-06-15,cannabis,TRUE,Neutral,0
2008-06-16,cannabis,TRUE,Neutral,0
2008-06-17,cannabis,TRUE,Neutral,0
2008-06-18,cannabis,TRUE,Neutral,0
2008-06-19,cannabis,TRUE,Neutral,0
2008-06-20,cannabis,TRUE,Neutral,0
2008-06-21,cannabis,TRUE,Neutral,0
2008-06-22,cannabis,TRUE,Neutral,0
2008-06-23,cannabis,TRUE,Neutral,0
2008-06-24,cannabis,TRUE,Neutral,0
2008-06-25,cannabis,TRUE,Neutral,0
2008-06-26,cannabis,TRUE,Neutral,0
2008-06-27,cannabis,TRUE,Neutral,0
2008-06-28,cannabis,TRUE,Neutral,0
2008-06-29,cannabis,TRUE,Neutral,0
2008-06-30,cannabis,TRUE,Neutral,0
2008-07-01,cannabis,TRUE,Neutral,0
2008-07-02,cannabis,TRUE,Neutral,0
2008-07-03,cannabis,TRUE,Neutral,0
2008-07-04,cannabis,TRUE,Neutral,0
2008-07-05,cannabis,TRUE,Neutral,0
2008-07-06,cannabis,TRUE,Neutral,0
2008-07-07,cannabis,TRUE,Neutral,0
2008-07-08,cannabis,TRUE,Neutral,0
2008-07-09,cannabis,TRUE,Neutral,0
2008-07-10,cannabis,TRUE,Neutral,0
2008-07-11,cannabis,TRUE,Neutral,0
2008-07-12,cannabis,TRUE,Neutral,0
2008-07-13,cannabis,TRUE,Neutral,0
2008-07-14,cannabis,TRUE,Neutral,0
2008-07-15,cannabis,TRUE,Neutral,0
2008-07-16,cannabis,TRUE,Neutral,0
2008-07-17,cannabis,TRUE,Neutral,0
2008-07-18,cannabis,TRUE,Neutral,0
2008-07-19,cannabis,TRUE,Neutral,0
2008-07-20,cannabis,TRUE,Neutral,0
2008-07-21,cannabis,TRUE,Neutral,0
2008-07-22,cannabis,TRUE,Neutral,0
2008-07-23,cannabis,TRUE,Neutral,0
2008-07-24,cannabis,TRUE,Neutral,0
2008-07-25,cannabis,TRUE,Neutral,0
2008-07-26,cannabis,TRUE,Neutral,0
2008-07-27,cannabis,TRUE,Neutral,0
2008-07-28,cannabis,TRUE,Neutral,0
2008-07-29,cannabis,TRUE,Neutral,0
2008-07-30,cannabis,TRUE,Neutral,0
2008-07-31,cannabis,TRUE,Neutral,0
2008-08-01,cannabis,TRUE,Neutral,0
2008-08-02,cannabis,TRUE,Neutral,0
2008-08-03,cannabis,TRUE,Neutral,0
2008-08-04,cannabis,TRUE,Neutral,0
2008-08-05,cannabis,TRUE,Neutral,0
2008-08-06,cannabis,TRUE,Neutral,0
2008-08-07,cannabis,TRUE,Neutral,0
2008-08-08,cannabis,TRUE,Neutral,0
2008-08-09,cannabis,TRUE,Neutral,0
2008-08-10,cannabis,TRUE,Neutral,0
2008-08-11,cannabis,TRUE,Neutral,0
2008-08-12,cannabis,TRUE,Neutral,0
2008-08-13,cannabis,TRUE,Neutral,0
2008-08-14,cannabis,TRUE,Neutral,0
2008-08-15,cannabis,TRUE,Neutral,0
2008-08-16,cannabis,TRUE,Neutral,0
2008-08-17,cannabis,TRUE,Neutral,0
2008-08-18,cannabis,TRUE,Neutral,0
2008-08-19,cannabis,TRUE,Neutral,0
2008-08-20,cannabis,TRUE,Neutral,0
2008-08-21,cannabis,TRUE,Neutral,0
2008-08-22,cannabis,TRUE,Neutral,0
2008-08-23,cannabis,TRUE,Neutral,0
2008-08-24,cannabis,TRUE,Neutral,0
2008-08-25,cannabis,TRUE,Neutral,0
2008-08-26,cannabis,TRUE,Neutral,0
2008-08-27,cannabis,TRUE,Neutral,0
2008-08-28,cannabis,TRUE,Neutral,0
2008-08-29,cannabis,TRUE,Neutral,0
2008-08-30,cannabis,TRUE,Neutral,0
2008-08-31,cannabis,TRUE,Neutral,0
2008-09-01,cannabis,TRUE,Neutral,0
2008-09-02,cannabis,TRUE,Neutral,0
2008-09-03,cannabis,TRUE,Neutral,0
2008-09-04,cannabis,TRUE,Neutral,0
2008-09-05,cannabis,TRUE,Neutral,0
2008-09-06,cannabis,TRUE,Neutral,0
2008-09-07,cannabis,TRUE,Neutral,0
2008-09-08,cannabis,TRUE,Neutral,0
2008-09-09,cannabis,TRUE,Neutral,0
2008-09-10,cannabis,TRUE,Neutral,0
2008-09-11,cannabis,TRUE,Neutral,0
2008-09-12,cannabis,TRUE,Neutral,0
2008-09-13,cannabis,TRUE,Neutral,0
2008-09-14,cannabis,TRUE,Neutral,0
2008-09-15,cannabis,TRUE,Neutral,0
2008-09-16,cannabis,TRUE,Neutral,0
2008-09-17,cannabis,TRUE,Neutral,0
2008-09-18,cannabis,TRUE,Neutral,0
2008-09-19,cannabis,TRUE,Neutral,0
